date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:01:25	633/633	---MCZ	200	added ('OK')	text/plain	date:Fri,%2016%20Jan%202026%2004:01:23%20GMT	https://fnf.run3.io/robots.txt		(from )
22:01:25	3243/3243	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Nov%202025%2010:29:07%20GMT	https://fnf.run3.io/matt-3-fanmade/3.1/	C:/huggy%20wuggy_/fnf.run3.io/matt-3-fanmade/3.1/index.html	(from )
22:01:25	14902/14902	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2269073271-3a36%22	https://fnf.run3.io/matt-3-fanmade/3.1/assets/fonts/pixel.eot?	C:/huggy%20wuggy_/fnf.run3.io/matt-3-fanmade/3.1/assets/fonts/pixeld41d.eot	(from https://fnf.run3.io/matt-3-fanmade/3.1/)
22:01:25	3040230/3040230	---MCZ	200	added ('OK')	application/javascript	etag:W/%2269073270-2e63e6%22	https://fnf.run3.io/matt-3-fanmade/3.1/Funkin.js	C:/huggy%20wuggy_/fnf.run3.io/matt-3-fanmade/3.1/Funkin.js	(from https://fnf.run3.io/matt-3-fanmade/3.1/)
22:01:26	7156/7156	---M--	200	added ('OK')	font/woff	etag:%2269073271-1bf4%22	https://fnf.run3.io/matt-3-fanmade/3.1/assets/fonts/pixel.woff	C:/huggy%20wuggy_/fnf.run3.io/matt-3-fanmade/3.1/assets/fonts/pixel.woff	(from https://fnf.run3.io/matt-3-fanmade/3.1/)
22:01:26	14656/14656	---M--	200	added ('OK')	application/octet-stream	etag:%2269073271-3940%22	https://fnf.run3.io/matt-3-fanmade/3.1/assets/fonts/pixel.otf	C:/huggy%20wuggy_/fnf.run3.io/matt-3-fanmade/3.1/assets/fonts/pixel.otf	(from https://fnf.run3.io/matt-3-fanmade/3.1/)
22:01:26	76066/76066	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2269073271-12922%22	https://fnf.run3.io/matt-3-fanmade/3.1/assets/fonts/vcr.eot?	C:/huggy%20wuggy_/fnf.run3.io/matt-3-fanmade/3.1/assets/fonts/vcrd41d.eot	(from https://fnf.run3.io/matt-3-fanmade/3.1/)
22:01:26	25288/25288	---M--	200	added ('OK')	font/woff	etag:%2269073271-62c8%22	https://fnf.run3.io/matt-3-fanmade/3.1/assets/fonts/vcr.woff	C:/huggy%20wuggy_/fnf.run3.io/matt-3-fanmade/3.1/assets/fonts/vcr.woff	(from https://fnf.run3.io/matt-3-fanmade/3.1/)
22:01:27	75864/75864	---M--	200	added ('OK')	application/octet-stream	etag:%2269073271-12858%22	https://fnf.run3.io/matt-3-fanmade/3.1/assets/fonts/vcr.ttf	C:/huggy%20wuggy_/fnf.run3.io/matt-3-fanmade/3.1/assets/fonts/vcr.ttf	(from https://fnf.run3.io/matt-3-fanmade/3.1/)
22:01:27	40216/40216	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2269073271-9d18%22	https://fnf.run3.io/matt-3-fanmade/3.1/assets/fonts/vcr.svg	C:/huggy%20wuggy_/fnf.run3.io/matt-3-fanmade/3.1/assets/fonts/vcr.svg	(from https://fnf.run3.io/matt-3-fanmade/3.1/)
22:01:27	15956/15956	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2269073273-3e54%22	https://fnf.run3.io/matt-3-fanmade/3.1/flixel/fonts/nokiafc22.eot?	C:/huggy%20wuggy_/fnf.run3.io/matt-3-fanmade/3.1/flixel/fonts/nokiafc22d41d.eot	(from https://fnf.run3.io/matt-3-fanmade/3.1/)
22:01:27	4772/4772	---M--	200	added ('OK')	font/woff	etag:%2269073273-12a4%22	https://fnf.run3.io/matt-3-fanmade/3.1/flixel/fonts/nokiafc22.woff	C:/huggy%20wuggy_/fnf.run3.io/matt-3-fanmade/3.1/flixel/fonts/nokiafc22.woff	(from https://fnf.run3.io/matt-3-fanmade/3.1/)
22:01:27	15744/15744	---M--	200	added ('OK')	application/octet-stream	etag:%2269073273-3d80%22	https://fnf.run3.io/matt-3-fanmade/3.1/flixel/fonts/nokiafc22.ttf	C:/huggy%20wuggy_/fnf.run3.io/matt-3-fanmade/3.1/flixel/fonts/nokiafc22.ttf	(from https://fnf.run3.io/matt-3-fanmade/3.1/)
22:01:28	22998/22998	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2269073273-59d6%22	https://fnf.run3.io/matt-3-fanmade/3.1/flixel/fonts/nokiafc22.svg	C:/huggy%20wuggy_/fnf.run3.io/matt-3-fanmade/3.1/flixel/fonts/nokiafc22.svg	(from https://fnf.run3.io/matt-3-fanmade/3.1/)
22:01:28	29904/29904	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2269073273-74d0%22	https://fnf.run3.io/matt-3-fanmade/3.1/flixel/fonts/monsterrat.eot?	C:/huggy%20wuggy_/fnf.run3.io/matt-3-fanmade/3.1/flixel/fonts/monsterratd41d.eot	(from https://fnf.run3.io/matt-3-fanmade/3.1/)
22:01:28	17484/17484	---M--	200	added ('OK')	font/woff	etag:%2269073273-444c%22	https://fnf.run3.io/matt-3-fanmade/3.1/flixel/fonts/monsterrat.woff	C:/huggy%20wuggy_/fnf.run3.io/matt-3-fanmade/3.1/flixel/fonts/monsterrat.woff	(from https://fnf.run3.io/matt-3-fanmade/3.1/)
22:01:28	29724/29724	---M--	200	added ('OK')	application/octet-stream	etag:%2269073273-741c%22	https://fnf.run3.io/matt-3-fanmade/3.1/flixel/fonts/monsterrat.ttf	C:/huggy%20wuggy_/fnf.run3.io/matt-3-fanmade/3.1/flixel/fonts/monsterrat.ttf	(from https://fnf.run3.io/matt-3-fanmade/3.1/)
22:01:29	53846/53846	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2269073273-d256%22	https://fnf.run3.io/matt-3-fanmade/3.1/flixel/fonts/monsterrat.svg	C:/huggy%20wuggy_/fnf.run3.io/matt-3-fanmade/3.1/flixel/fonts/monsterrat.svg	(from https://fnf.run3.io/matt-3-fanmade/3.1/)
